last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market
8546,1,0,0,0,0,0,1,0,0
8544.5,1,0,0,0,0,0,1,0,0
8543.5,1,0,0,0,0,0,1,0,0
8544.5,1,0,0,0,0,0,1,0,0
8544.5,1,0,0,0,0,0,1,0,0
8544,1,0,0,0,0,0,1,0,0
8545.5,1,0,0,0,0,0,1,0,0
8550,1,0,0,0,0,0,1,0,0
8555.5,1,0,0,0,0,0,1,0,0
8560,1,0,0,0,0,0,1,0,0
8563,1,0,0,0,0,0,1,0,0
8557,1,0,0,0,0,0,1,0,0
8561,1,0,0,0,0,0,1,0,0
8561,1,0,0,0,0,0,1,0,0
8563,1,0,0,0,0,0,1,0,0
8562.5,1,0,0,0,0,0,1,0,0
8564,1,0,0,0,0,0,1,0,0
8565.5,1,0,0,0,0,0,1,0,0
8563.5,1,0,0,0,0,0,1,0,0
8560,1,0,0,0,0,0,1,0,0
8558,1,0,0,0,0,0,1,0,0
8558,1,0,0,0,0,0,1,0,0
8562.5,1,0,0,0,0,0,1,0,0
8562.5,1,0,0,0,0,0,1,0,0
8563,1,0,0,0,0,0,1,0,0
8563,1,0,0,0,0,0,1,0,0
8562.5,1,0,0,0,0,0,1,0,0
8562.5,1,0,0,0,0,0,1,0,0
8557.5,1,0,0,0,0,0,1,0,0
8556.5,1,0,0,0,0,0,1,0,0
8556.5,1,0,0,0,0,0,1,0,0
8556.5,1,0,0,0,0,0,1,0,0
8556.5,1,0,0,0,0,0,1,0,0
8556.5,1,0,0,0,0,0,1,0,0
8554.5,1,0,0,0,0,0,1,0,0
8553,1,0,0,0,0,0,1,0,0
8552.5,1,0,0,0,0,0,1,0,0
8552.5,1,0,0,0,0,0,1,0,0
8550,1,0,0,0,0,0,1,0,0
8547.5,1,0,0,0,0,0,1,0,0
8547.5,1,0,0,0,0,0,1,0,0
8547.5,1,0,0,0,0,0,1,0,0
8549.5,1,0,0,0,0,0,1,0,0
8550,1,0,0,0,0,0,1,0,0
8549.5,1,0,0,0,0,0,1,0,0
8546,1,0,0,0,0,0,1,0,0
8545,1,0,0,0,0,0,1,0,0
8535.5,1,0,0,0,0,0,1,0,0
8532,1,0,0,0,0,0,1,0,0
8544,1,0,0,0,0,0,1,0,0
8535,1,0,0,0,0,0,1,0,0
8534.5,1,0,0,0,0,0,1,0,0
8534.5,1,0,0,0,0,0,1,0,0
8535,1,0,0,0,0,0,1,0,0
8534.5,1,0,0,0,0,0,1,0,0
8530.5,1,0,0,0,0,0,1,0,0
8530.5,1,0,0,0,0,0,1,0,0
8530.5,1,0,0,0,0,0,1,0,0
8530,1,0,0,0,0,0,1,0,0
8530.5,1,0,0,0,0,0,1,0,0
8530.5,1,0,0,0,0,0,1,0,0
8534.5,1,0,0,0,0,0,1,0,0
8534.5,1,0,0,0,0,0,1,0,0
8534.5,1,0,0,0,0,0,1,0,0
8531.5,1,0,0,0,0,0,1,0,0
8532,1,0,0,0,0,0,1,0,0
8529.5,1,0,0,0,0,0,1,0,0
8521.5,1,0,0,0,0,0,1,0,0
8517.5,1,0,0,0,0,0,1,0,0
8520,1,0,0,0,0,0,1,0,0
8525.5,1,0,0,0,0,0,1,0,0
8529,1,0,0,0,0,0,1,0,0
8532.5,1,0,0,0,0,0,1,0,0
8530.5,1,0,0,0,0,0,1,0,0
8531,1,0,0,0,0,0,1,0,0
8530.5,1,0,0,0,0,0,1,0,0
8531,1,0,0,0,0,0,1,0,0
8531,1,0,0,0,0,0,1,0,0
8536.5,1,0,0,0,0,0,1,0,0
8536.5,1,0,0,0,0,0,1,0,0
8536.5,1,0,0,0,0,0,1,0,0
8536.5,1,0,0,0,0,0,1,0,0
8539,1,0,0,0,0,0,1,0,0
8539,1,0,0,0,0,0,1,0,0
8539,1,0,0,0,0,0,1,0,0
8539,1,0,0,0,0,0,1,0,0
8539.5,1,0,0,0,0,0,1,0,0
8539.5,1,0,0,0,0,0,1,0,0
8539.5,1,0,0,0,0,0,1,0,0
8540.5,1,0,0,0,0,0,1,0,0
8544.5,1,0,0,0,0,0,1,0,0
8544.5,1,0,0,0,0,0,1,0,0
8541,1,0,0,0,0,0,1,0,0
8539,1,0,0,0,0,0,1,0,0
8537,1,0,0,0,0,0,1,0,0
8535,1,0,0,0,0,0,1,0,0
8535,1,0,0,0,0,0,1,0,0
8535.5,1,0,0,0,0,0,1,0,0
8535.5,1,0,0,0,0,0,1,0,0
8535,1,0,0,0,0,0,1,0,0
8535,0.999249,0.00076215,8535,1.00075,8535,1,0,0,1
8528,0.999249,-5.86751e-05,8535,1.00157,0,0,1,0,0
8527.5,0.999249,-0.000117357,8535,1.00163,0,0,1,0,0
8534,0.999249,0.000644972,8535,1.00087,0,0,1,0,0
8534,0.999249,0.000644972,8535,1.00087,0,0,1,0,0
