last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
8711.5,1,0,0,0,0,-4.11474,-1,1,0,0
8711,1,0,0,0,0,-4.3646,-1,1,0,0
8711,1,0,0,0,0,-2.84992,-1.45929,1,0,0
8707,1,0,0,0,0,-5.15415,-0.885156,1,0,0
8708,1,0,0,0,0,0.35249,-0.540758,1,0,0
8712,1,0,0,0,0,0.686899,-1.05739,1,0,0
8711.5,1,0,0,0,0,-2.39946,-1,1,0,0
8711.5,1,0,0,0,0,-2.30395,-1.0574,1,0,0
8711,1,0,0,0,0,-1.69235,-1,1,0,0
8711,1,0,0,0,0,-2.01517,-0.942603,1,0,0
8711.5,1,0,0,0,0,0.803859,-1.40185,1,0,0
8708,1,0,0,0,0,0.379424,-1,1,0,0
8708,1,0,0,0,0,1.76736,-0.196464,1,0,0
8715,1,0,0,0,0,0.472151,-1,1,0,0
8715,1,0,0,0,0,1.77297,-1.05737,1,0,0
8714.5,1,0,0,0,0,1.23593,-1,1,0,0
8714.5,1,0,0,0,0,0.706653,-1,1,0,0
8714.5,1,0,0,0,0,1.6391,-1,1,0,0
8714.5,1,0,0,0,0,1.64952,-1,1,0,0
8714.5,1,0,0,0,0,1.02831,-1,1,0,0
8714.5,1,0,0,0,0,1.40128,-1.05738,1,0,0
8714,1.00039,0,13541.7,1.55342,13541.7,1.55402,-0.904589,0,1,0
8713,1.00039,-0.000178356,13541.7,1.55359,0,0.384221,-1,1,0,0
8713,1.00039,-0.000178356,13541.7,1.55359,0,-2.39616,-1,1,0,0
8713,1.00039,-0.000178356,13541.7,1.55359,0,-1.04754,-0.706951,1,0,0
8714,1.00039,0,13541.7,1.55342,0,-2.02388,1.63375,1,0,0
8723,1.00039,0.00160337,13541.7,1.55181,0,1.09573,-0.853891,1,0,0
8723.5,1.00039,0.00169235,13541.7,1.55172,0,1.10611,-1,1,0,0
8723.5,1.00039,0.00169235,13541.7,1.55172,-33050.1,-2.23543,-1,0,1,0
8723.5,1.00039,0.00169235,13541.7,1.55172,0,-1.84595,-1,1,0,0
8723.5,1.00039,0.00169235,13541.7,1.55172,-48603.6,-4.01768,-2.16958,0,1,0
8719.5,1.00039,0.000980229,13541.7,1.55244,0,-1.30582,-0.26888,1,0,0
8722,1.00039,0.00142538,13541.7,1.55199,0,-1.59044,-1,1,0,0
8722,1.00039,0.00142538,13541.7,1.55199,0,-0.661258,-1.14614,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,-0.430958,-1,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,-1.28361,-1,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,0.39391,-0.561508,1,0,0
8723,1.00039,0.00160337,13541.7,1.55181,0,0.695202,-1.14612,1,0,0
8722.5,1.00039,0.00151438,13541.7,1.5519,0,1.19985,-1.14623,1,0,0
8722,1.00039,0.00142538,13541.7,1.55199,0,0.239412,-1,1,0,0
8722,1.00039,0.00142538,13541.7,1.55199,0,-0.973399,0.168738,1,0,0
8726,1.00039,0.00213709,13541.7,1.55128,0,1.36996,-0.854056,1,0,0
8726.5,1.00039,0.00222601,13541.7,1.55119,0,0.908016,-1,1,0,0
8726.5,1.00039,0.00222601,13541.7,1.55119,0,1.28796,-2.46082,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,1.50341,-1,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,0.893633,-1,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,-0.299852,-1,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,-0.801469,-1,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,-0.961256,-1,1,0,0
8721.5,1.00039,0.00133637,13541.7,1.55208,0,1.59659,-0.415399,1,0,0
8723.5,1.00249,-0,-599.61,-0.0685645,-14141.3,-0.0687083,-0.275407,0,1,0
8726.5,1.00249,-2.36297e-05,-599.61,-0.0685881,0,1.05149,-0.839906,1,0,0
8728,1.00249,-3.54385e-05,-599.61,-0.0685999,0,1.96732,-1,1,0,0
8728,1.00249,-3.54385e-05,-599.61,-0.0685999,-3774,-0.499858,-1,0,1,0
8728,1.00249,-3.54385e-05,-599.61,-0.0685999,0,-1.31321,-0.466534,1,0,0
8733,1.00249,-7.47718e-05,-599.61,-0.0686391,0,1.11696,-1,1,0,0
8733,1.00249,-7.47718e-05,-599.61,-0.0686391,0,-1.30676,-1.05333,1,0,0
8732.5,1.00249,-7.08405e-05,-599.61,-0.0686352,0,-2.13015,-1.5335,1,0,0
8727.5,1.00249,-3.15027e-05,-599.61,-0.068596,0,-0.000681151,-1.58717,1,0,0
8722,1.00249,1.1821e-05,-599.61,-0.0685527,0,2.32252,-1,1,0,0
8722,1.00249,1.1821e-05,-599.61,-0.0685527,0,-0.613299,-1.80125,1,0,0
8714.5,1.00249,7.09869e-05,-599.61,-0.0684937,0,0.0738153,-0.893127,1,0,0
8715.5,1.00249,6.30922e-05,-599.61,-0.0685016,0,1.1055,-1.05343,1,0,0
8715,1.00249,6.70393e-05,-599.61,-0.0684977,17474.4,1.93149,-0.946568,0,1,0
8715.5,1.00249,6.30922e-05,-599.61,-0.0685016,0,1.60939,-1.05343,1,0,0
8715,1.00249,6.70393e-05,-599.61,-0.0684977,0,1.71918,-0.626025,1,0,0
8718.5,1.00249,3.9419e-05,-599.61,-0.0685252,0,0.449313,0.547835,1,0,0
8733,1.00249,-7.47718e-05,-599.61,-0.0686391,0,0.17693,-1,1,0,0
8733,1.00249,-7.47718e-05,-599.61,-0.0686391,0,1.12881,-0.893337,1,0,0
8734,1.00249,-8.26331e-05,-599.61,-0.068647,0,0.526861,-1,1,0,0
8734,1.00249,-8.26331e-05,-599.61,-0.068647,0,1.81761,-1,1,0,0
8734,1.00249,-8.26331e-05,-599.61,-0.068647,0,2.22601,-1,1,0,0
