cart_position,cart_velocity,pole_angle,pole_velocity
0,0.013325,0,-0.0199874
0.000266499,0.102721,-0.000399749,-0.154081
0.00232091,0.0242973,-0.00348136,-0.0365634
0.00280685,0.0928105,-0.00421263,-0.140356
0.00466306,0.133179,-0.00701976,-0.202147
0.00732665,0.228123,-0.0110627,-0.346623
0.0118891,0.284706,-0.0179952,-0.434745
0.0175832,0.367214,-0.0266901,-0.563777
0.0249275,0.380433,-0.0379656,-0.591445
0.0325362,0.329652,-0.0497945,-0.526486
0.0391292,0.407658,-0.0603242,-0.657985
0.0472824,0.452283,-0.0734839,-0.742525
0.056328,0.445796,-0.0883344,-0.754406
0.065244,0.362323,-0.103423,-0.65562
0.0724904,0.290458,-0.116535,-0.578752
0.0782996,0.385658,-0.12811,-0.754767
0.0860127,0.475201,-0.143205,-0.925542
0.0955168,0.501234,-0.161716,-1.00615
0.105541,0.488617,-0.181839,-1.03481
0.115314,0.533259,-0.202535,-1.15383
0.125979,0.515537,-0.225612,-1.18693
